1	0.18699522 -0.6353613 -0.29434517 -0.95652306 0.10515289 0.19572926 0.22277409 -0.15577213 0.42587212 -0.91805243 0.76730883 -0.061301205 0.42213207 0.8567734 -0.59254885 0.45382422 -0.03489463 -0.19544162 -0.09254242 -0.14561412 -0.79572576 0.4963514 0.6569413 -0.2856753 -0.55541056 -0.6558784 -0.17713001 0.71567935 0.045276687 0.11778174 -0.15405762 1.1377983 -0.0904229 0.18983296 -0.01106186 -0.27017498 0.12423255 0.0030408464 0.10116689 -0.35848638 0.24293098 -0.14566267 0.28557053 -0.4164047 -0.6319959 -0.17629662 0.7474865 -0.009228015 0.10093589 0.094026685 1.073275 0.821986 -0.46691477 -0.3280194 0.02848398 -0.23923422 -0.5331835 -0.33557937 0.2973094 0.65534866 0.29407313 -0.8400536 0.7779269 0.3460951
2	1.187886 0.02445921 -0.70147294 0.22320187 -0.5721146 0.1383451 -0.35851672 -0.24235147 0.035778377 0.09305529 0.08864136 -0.022440383 -0.14300871 -0.28538463 0.00022383197 0.1186406 -0.17091104 -0.08750007 0.37393504 -0.43992445 0.057931475 -0.60988164 -0.36975294 1.1233087 0.02793994 -0.26410818 -0.25885814 -0.97105765 -0.96176785 0.27753568 -0.16961807 0.54280645 -0.18000776 -0.7987925 -0.73247665 0.23140633 -0.4958144 -0.7048777 0.38813072 0.94835913 -0.058902077 -0.4165609 0.01609617 0.6439963 0.18413424 0.37375206 0.9821972 1.0998408 -0.38409922 0.07028 0.21645862 0.050354827 0.23189214 -0.24134517 -0.24436833 -0.030591533 -0.0480797 0.22669859 0.7737743 0.44609538 -0.1730031 0.17688948 0.3438751 0.7540023
3	-0.019414572 0.63725024 0.24525814 0.2633655 -0.21311374 -0.14188363 0.13842899 0.16967154 0.07826241 0.49921927 0.5409599 0.11844747 -0.80257475 -0.7083074 0.6697959 0.5033002 -0.004927056 -0.54348195 -0.8866974 0.30361766 -0.30569136 0.11166562 -0.02931512 0.08463004 -0.2935544 -0.54779714 -0.24914202 -0.18550245 0.2054107 0.5307097 0.9204095 0.26095852 0.38537872 0.09357125 -0.622858 -0.6711838 -0.47702894 -0.71364594 0.84128124 0.91337097 -0.05981973 -0.26154688 -0.0073986817 0.2817806 0.070235506 -0.5079766 0.16601452 0.18789944 -0.2837575 -0.68878925 0.35619724 0.21476789 0.4727002 0.20723242 0.2130223 -0.49679232 -0.20899504 0.7475812 -0.3244946 0.60461676 -0.0015701372 0.67950803 1.1931889 0.009085393
4	0.2045734 -0.029662015 -0.048846014 0.4420389 -0.98996186 0.6210347 0.23622803 0.7168369 -0.17394006 0.9062823 0.5656196 0.29246718 -0.18390991 -0.27395934 0.19923928 0.8394394 -0.82409704 -0.731743 -0.5223053 0.505917 0.31388563 -0.09712855 0.08280796 0.3123917 -0.56767505 -0.5668833 0.33859977 0.1370138 -0.19529895 -0.08693926 0.50483745 0.8728358 0.34084654 0.3350571 -0.6622527 -0.11702876 -0.4233523 -0.564652 0.74344033 -0.019975409 -0.2124643 -0.7586397 0.48013058 -0.04607873 0.010965767 -1.3827246 0.4128782 0.26928216 -0.70329374 0.3105003 -0.16281994 0.34040117 0.093980715 0.14906573 -0.6225609 0.48574984 0.25641024 1.2731341 -0.15619272 -0.07412581 0.017203197 -0.06704082 1.158391 0.23729807
5	-0.83453274 -1.2228632 0.4277173 -0.16621023 -0.10855563 -0.8496759 0.10940266 0.6333863 0.5371949 0.0457253 0.11366618 0.20256868 0.80106765 0.10662153 -0.8024564 0.2844461 0.023014108 0.52191603 0.5023682 0.06926812 -0.29311097 1.0212132 1.1569644 -0.1721354 -0.65395147 -0.060075738 0.10870226 0.5978381 0.4878855 -0.019506427 -0.20634231 -0.16478634 -0.23003796 0.2976312 1.2143911 -0.2776199 0.93948156 0.22080864 0.039500125 0.6444883 -0.0849493 0.80150586 -0.25865784 -0.52428925 0.3122555 0.1331726 0.97913814 -0.7082193 0.36976197 0.21962717 -0.90736616 1.0220304 -0.5970473 -0.19572975 0.85578483 -0.33407024 -0.028515588 0.47134438 -0.3843572 0.10098575 0.51697725 -0.05762111 0.5922446 0.8630302
6	-0.01644881 0.10481612 -0.41101715 -0.4477795 0.60950816 0.09862107 0.34023115 -0.2121644 0.15074614 0.40737924 0.075239345 -0.1728523 0.092135504 -0.13471389 -0.21664234 0.04826817 -1.0342636 -0.7308238 -0.5393647 -0.0735012 -0.17024487 0.020190826 0.5376003 0.5462217 -0.060838133 -0.33207512 -0.3715146 0.27234772 -0.59604317 -0.046802443 -1.4216983 0.6714473 0.03065851 -0.46556818 -0.17378879 0.40716565 -1.2041653 0.43732724 0.18926215 -0.3469965 0.6047602 -0.5464313 0.5326562 -0.26383352 -0.075426236 -0.2972942 0.061671343 0.22689189 0.30643696 0.25258714 -0.8167145 -0.4831261 -0.1576757 -0.35199073 0.69019717 -0.7844106 0.21616173 -0.0919358 0.83701116 -0.051280607 -0.37107277 0.3244087 0.31296685 0.1856542
7	-0.2607063 -0.61373276 -0.76860195 -0.24120656 0.1627285 0.099150285 -0.0025434494 0.09871414 0.26302513 -1.0888635 0.86495125 -0.37646732 0.4938641 -0.92612725 -0.29899678 0.46993738 -0.46041727 -0.35975957 -0.5642277 0.4773541 -0.33213508 -0.48079798 0.11742978 0.051997583 -0.25427616 0.17090523 0.15966007 0.7119786 0.30364794 -0.161779 -0.099866405 0.21148403 0.34805423 0.29011694 -0.17808327 -0.24813 0.21329722 -0.17406449 0.4808986 0.05935888 0.06105916 0.37925687 0.018053472 -0.56366175 0.12870046 -0.10853787 -0.13761486 -0.73636305 0.62690973 -0.53243864 -0.3105368 -0.44842687 -0.5967366 -0.24996424 0.20493315 -0.8051157 0.43088827 0.30280185 0.30010223 1.0452148 0.4323923 -0.23384905 1.0162013 0.3341449
8	0.39779517 0.28112027 -0.42234647 0.014342184 -0.5962507 0.5537528 0.30872935 0.4670945 0.2146321 0.21684736 0.095113546 0.00061053503 -0.38968801 -0.5657077 0.048895575 0.18969356 -0.3463089 -1.4408011 -0.67800725 1.2894311 0.30759484 0.26374424 0.12244457 0.50632614 -0.45754227 -0.513587 -0.3986389 0.6487556 0.4886791 0.2347975 0.37914684 0.981981 -0.3549026 0.4609633 0.14751469 -0.6724068 -0.29859057 0.41818675 0.609495 -0.29287195 0.4747868 -0.69509137 -0.49615926 -0.48790547 -0.41787344 -1.080404 -0.020351425 -0.06261419 0.11197242 -0.29087192 0.14502147 0.7852151 -0.25487065 -0.57208693 1.1207752 -1.1252822 -0.605371 0.48461443 -0.41822296 -0.35909754 0.377427 0.8569419 0.3129911 0.38864174
9	0.14142565 -0.79510576 -0.78203267 -1.0820771 1.2134205 0.51397395 0.5021397 -0.08174737 1.176767 0.9738774 -0.06938593 0.3041499 0.39896345 0.021228332 -0.13942592 0.15888335 -1.4010401 -0.15407583 -0.045769818 -0.16287489 0.014120031 0.2944815 0.067976035 0.36370158 0.3613457 0.67138636 -0.41206774 0.0487376 -0.07877834 -0.2714915 -0.12612373 -0.019682342 -0.06808947 -0.16688897 -0.56808305 0.16455166 -0.32401308 -0.50014675 -0.2368061 0.61094457 0.8268445 0.5420715 -0.33204535 -0.10560151 0.4259357 0.104850635 -0.115805 0.012460057 0.93971246 0.33939612 -0.018511215 0.40250915 0.0058019757 0.8291609 0.9315099 -0.8951525 -0.32414463 1.2538728 0.007821206 -0.27351722 0.4055858 0.27748176 -0.5475032 0.691296
10	0.057742618 0.31210983 -1.2621824 -0.8847046 0.013985105 0.44558746 0.61037236 -0.56007034 -0.39314574 -0.21177135 0.11963186 -0.6173124 0.4616801 0.12060538 -0.2657308 0.007123612 -0.22993731 -0.28899115 -0.7466687 -0.23882458 -0.7081263 0.08584514 0.14248121 0.70723706 0.22218637 -0.25582123 0.03302301 0.7883182 0.17477018 -0.449667 -0.5923753 -0.028993592 -0.17884544 -0.42120424 -0.47756228 0.19321658 -0.64255434 -0.2285377 0.2270622 0.07400069 0.44637886 0.8464917 -0.037540354 -0.64382046 -0.9454405 0.003168244 0.13409361 -0.034315288 0.62098414 0.23062441 0.16097711 0.14099996 -0.6683025 0.2428154 -0.04634174 0.3465187 -0.24427634 0.17184983 0.079375 0.45257607 0.5177662 0.43249863 1.3648595 -0.56506306
11	-0.36446288 -0.06328937 0.17887805 -0.41730735 -0.9942234 -0.23276836 -0.44655958 -0.29108548 -0.25439632 -0.02157166 -0.13897395 0.38951612 -0.14269617 -0.41941845 -0.49951255 0.78261 -0.4702919 0.7149582 -0.1043243 0.43091813 -0.8638065 0.47228196 0.43224198 0.43362907 -0.02337446 0.13745442 -0.4720846 0.5039847 0.2873817 -0.17096347 0.46025458 -0.24821123 0.27781278 0.40515587 -0.5975507 0.14554101 0.1680263 0.013850553 0.38870075 0.94193584 0.5431468 0.4319113 0.4389595 -0.47606093 -0.1349781 -0.84344363 1.2598461 -0.04299885 -0.10416926 0.6534046 0.53214955 0.36395323 -0.34213588 -0.74295425 0.84943897 0.40060627 -0.32903606 0.9247074 -0.103116155 0.6458586 0.27110827 -0.7054157 0.2284471 0.48096147
12	0.36651307 -0.07200079 -0.18723674 -0.731436 -0.35189798 0.7651588 -0.2329644 -0.0976259 -0.5066435 -0.1537063 0.8064165 1.4986377 0.7228084 -0.028024921 -0.2171011 0.53344905 -0.21245748 0.2120458 0.39496148 -0.35715592 0.37777486 -0.37120917 0.114755526 1.0173376 -0.08550805 -0.68697804 -0.89553595 0.5947221 0.21208656 -0.5043979 -0.23740172 0.5216125 0.2777155 0.289116 -0.7078482 0.571638 0.00059388625 -0.19120546 0.29920006 0.12332095 0.45532626 -0.39698082 0.2723055 -0.42744052 -0.504208 0.55394167 0.36255535 0.061922036 0.7605433 0.29400125 0.098172575 0.059890673 -0.3981995 -0.25973883 -0.7050534 -0.070112966 -0.91202384 0.28883204 0.46969107 0.5786694 -0.5389628 1.1768092 1.2265276 0.21905543
